gate_mode,sampling_fps,n,avg_wall_ms,p50_wall_ms,p99_wall_ms,p50_clip_ms,p50_offload_ms,p50_xfer_gate_ms,p50_gate_comp_ms,p50_mamba_ms,p50_trans_ms,sustainable_fps_est
cpu,1,54,69.20009751424745,69.7220116853714,79.15830738842487,15.744644217193127,0.3444310277700424,0.0,42.36358683556318,7.757929153740406,33.26482232660055,14.342672791952921
cpu,30,600,82.60286121318738,80.81038016825914,116.17613224312663,7.523840293288231,0.3105262294411659,0.0,21.498636342585087,3.8591520860791206,17.50600803643465,12.374647884564487
cpu,120,600,83.26633015957971,81.94472081959248,118.12837252393363,7.531806826591492,0.3149053081870079,0.0,21.56464383006096,3.7301145493984222,17.711843363940716,12.203348672107577
cpu,300,600,82.73736010305583,80.81169333308935,116.94668203592299,7.536869496107101,0.3028549253940582,0.0,21.50274347513914,3.8877250626683235,17.482619732618332,12.37444680039315
cpu,600,600,78.29433015547693,78.05384509265423,108.22092618793249,7.499365136027336,0.3027161583304405,0.0,21.342209540307522,3.8520274683833122,17.36738532781601,12.81166864762325
gpu,1,54,629.54190959809,26.729916222393513,4715.579788181931,14.832833781838417,0.0,0.0,8.594273589551449,0.8181007578969002,7.340992800891399,37.411265777265335
gpu,30,600,246.53593451095125,14.608407393097878,4752.697345130146,7.384934462606907,0.0,0.0,5.8903321623802185,0.8170288056135178,3.6720149219036102,68.45373168278947
gpu,120,600,23.508801146720845,24.970541708171368,32.974618896842,14.668582938611507,0.0,0.0,8.897007443010807,0.7746340706944466,7.101274095475674,40.04718887106721
gpu,300,600,23.669130504131317,25.240465067327023,32.658512368798256,14.768953435122967,0.0,0.0,8.762560784816742,0.772593542933464,6.9181835278868675,39.61892133653544
gpu,600,600,23.305916413664818,25.00516828149557,32.376538310199976,14.731604605913162,0.0,0.0,8.609752170741558,0.773807056248188,6.883393041789532,39.9917324587663
