k_requested,k_avail,k_actual,xfer_k_bytes,rep,step_idx,wall_ms,cuda_event_ms,gate_ms,decode_gpu_ms,num_new_tokens,tok_per_s,decode_ratio,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
64,5577,64,524288,0,64,1036.1662,1036.1007,352.7006,682.4975,0,0.000000,0.658676,,,1,87
64,5577,64,524288,0,65,969.0320,969.0028,356.5584,611.3190,0,0.000000,0.630855,,,1,87
64,5577,64,524288,0,66,1335.3078,1335.2822,356.1773,977.6693,0,0.000000,0.732168,,,1,140
64,5577,64,524288,0,67,1412.4631,1412.4379,354.5070,1056.3728,0,0.000000,0.747894,,,1,145
64,5577,64,524288,0,68,1929.9615,1929.9360,357.0367,1570.7744,0,0.000000,0.813889,,,1,219
64,5577,64,524288,0,69,1938.0780,1938.0516,355.9340,1579.8562,0,0.000000,0.815166,,,1,219
64,5577,64,524288,0,70,1945.4977,1945.4711,359.3702,1583.6460,0,0.000000,0.814006,,,1,219
64,5577,64,524288,0,71,1957.7302,1957.7037,358.2754,1596.8336,0,0.000000,0.815656,,,1,219
64,5577,64,524288,0,72,1966.2946,1966.2682,362.4216,1601.1631,0,0.000000,0.814305,,,1,219
64,5577,64,524288,0,73,1978.0569,1978.0292,363.7574,1611.2207,0,0.000000,0.814547,,,1,219
64,5577,64,524288,0,74,1985.6929,1985.6663,364.8881,1617.4517,0,0.000000,0.814553,,,1,219
64,5577,64,524288,0,75,1988.1995,1988.1721,362.6481,1622.2004,0,0.000000,0.815914,,,1,219
64,5577,64,524288,0,76,1995.7221,1995.6945,365.7654,1626.5743,0,0.000000,0.815030,,,1,219
64,5577,64,524288,0,77,2008.3116,2008.2844,364.8115,1639.9104,0,0.000000,0.816562,,,1,219
64,5577,64,524288,0,78,2017.2060,2017.1792,367.8051,1645.6802,0,0.000000,0.815822,,,1,219
64,5577,64,524288,0,79,2030.2907,2030.2649,367.3971,1658.9653,0,0.000000,0.817107,,,1,219
64,5577,64,524288,0,80,2037.1723,2037.1437,369.1051,1663.9539,0,0.000000,0.816796,,,1,219
64,5577,64,524288,0,81,2046.8111,2046.7836,369.9270,1672.5854,0,0.000000,0.817166,,,1,219
64,5577,64,524288,0,82,2050.5275,2050.5005,371.2134,1674.9221,0,0.000000,0.816825,,,1,219
64,5577,64,524288,0,83,2069.2729,2069.2451,370.1067,1694.4265,0,0.000000,0.818851,,,1,219
64,5577,64,524288,0,84,2077.8405,2077.8123,375.4040,1697.5035,0,0.000000,0.816956,,,1,219
64,5577,64,524288,0,85,2082.4184,2082.3887,373.9676,1703.4216,0,0.000000,0.818002,,,1,219
64,5577,64,524288,0,86,2087.6072,2087.5791,374.9933,1707.3026,0,0.000000,0.817828,,,1,219
64,5577,64,524288,0,87,2100.5230,2100.4949,371.9973,1723.0762,0,0.000000,0.820308,,,1,219
64,5577,64,524288,0,88,2113.5628,2113.5364,377.4004,1730.6394,0,0.000000,0.818826,,,1,219
64,5577,64,524288,0,89,2122.2310,2122.2017,378.1198,1738.3733,0,0.000000,0.819125,,,1,219
64,5577,64,524288,0,90,2128.2472,2128.2188,377.0145,1745.4059,0,0.000000,0.820114,,,1,219
64,5577,64,524288,0,91,2139.7236,2139.6941,377.9932,1755.7905,0,0.000000,0.820569,,,1,219
64,5577,64,524288,0,92,2147.8886,2147.8599,378.9814,1762.8093,0,0.000000,0.820717,,,1,219
64,5577,64,524288,0,93,2161.5686,2161.5403,378.4828,1776.8197,0,0.000000,0.822005,,,1,219
64,5577,64,524288,0,94,2172.8101,2172.7808,382.8138,1783.5883,0,0.000000,0.820867,,,1,219
64,5577,64,524288,0,95,2177.9325,2177.9043,381.9169,1789.4617,0,0.000000,0.821633,,,1,219
64,5577,64,524288,1,64,978.2317,978.1829,366.3278,610.9744,0,0.000000,0.624570,,,1,87
64,5577,64,524288,1,65,978.5766,978.5493,365.2962,612.0734,0,0.000000,0.625473,,,1,87
64,5577,64,524288,1,66,1344.8479,1344.8202,365.1253,978.3422,0,0.000000,0.727474,,,1,140
64,5577,64,524288,1,67,1420.4325,1420.4061,361.1988,1057.7046,0,0.000000,0.744636,,,1,145
64,5577,64,524288,1,68,1943.3498,1943.3212,368.8429,1572.4758,0,0.000000,0.809157,,,1,219
64,5577,64,524288,1,69,1950.2728,1950.2386,365.9196,1582.1541,0,0.000000,0.811248,,,1,219
64,5577,64,524288,1,70,1955.4179,1955.3890,367.6492,1585.4097,0,0.000000,0.810778,,,1,219
64,5577,64,524288,1,71,1973.5945,1973.5674,371.4865,1599.5559,0,0.000000,0.810479,,,1,219
64,5577,64,524288,1,72,1979.0690,1979.0397,371.6550,1604.6068,0,0.000000,0.810789,,,1,219
64,5577,64,524288,1,73,1986.7830,1986.7528,369.7644,1613.9436,0,0.000000,0.812340,,,1,219
64,5577,64,524288,1,74,1997.3949,1997.3662,375.3087,1618.9617,0,0.000000,0.810537,,,1,219
64,5577,64,524288,1,75,2001.4531,2001.4250,371.4591,1626.6798,0,0.000000,0.812749,,,1,219
64,5577,64,524288,1,76,2011.4769,2011.4480,375.6727,1632.2656,0,0.000000,0.811476,,,1,219
64,5577,64,524288,1,77,2023.7239,2023.6959,375.7303,1644.2422,0,0.000000,0.812483,,,1,219
64,5577,64,524288,1,78,2029.2696,2029.2402,376.0296,1649.4441,0,0.000000,0.812827,,,1,219
64,5577,64,524288,1,79,2043.0500,2043.0222,372.9638,1666.0583,0,0.000000,0.815476,,,1,219
64,5577,64,524288,1,80,2051.2922,2051.2649,377.4279,1669.8065,0,0.000000,0.814027,,,1,219
64,5577,64,524288,1,81,2065.6667,2065.6401,383.0148,1678.4417,0,0.000000,0.812542,,,1,219
64,5577,64,524288,1,82,2066.9821,2066.9541,380.1098,1682.4166,0,0.000000,0.813948,,,1,219
64,5577,64,524288,1,83,2091.7151,2091.6873,384.9351,1702.0375,0,0.000000,0.813704,,,1,219
64,5577,64,524288,1,84,2086.2983,2086.2646,377.7552,1703.6113,0,0.000000,0.816571,,,1,219
64,5577,64,524288,1,85,2110.6768,2110.6479,388.1551,1717.3942,0,0.000000,0.813670,,,1,219
64,5577,64,524288,1,86,2128.6168,2128.5884,408.5252,1714.7172,0,0.000000,0.805555,,,1,219
64,5577,64,524288,1,87,2126.1956,2126.1663,387.7749,1733.0444,0,0.000000,0.815092,,,1,219
64,5577,64,524288,1,88,2129.8004,2129.7725,380.9700,1743.2266,0,0.000000,0.818493,,,1,219
64,5577,64,524288,1,89,2136.9767,2136.9512,381.5254,1749.5706,0,0.000000,0.818713,,,1,219
64,5577,64,524288,1,90,2148.7697,2148.7419,385.7278,1757.1882,0,0.000000,0.817765,,,1,219
64,5577,64,524288,1,91,2159.4039,2159.3713,383.6628,1769.2906,0,0.000000,0.819342,,,1,219
64,5577,64,524288,1,92,2181.8230,2181.7981,397.0196,1778.6210,0,0.000000,0.815199,,,1,219
64,5577,64,524288,1,93,2185.3649,2185.3394,387.4151,1791.6068,0,0.000000,0.819820,,,1,219
64,5577,64,524288,1,94,2194.7446,2194.7207,387.4781,1800.7786,0,0.000000,0.820496,,,1,219
64,5577,64,524288,1,95,2206.3140,2206.2896,386.6696,1812.9570,0,0.000000,0.821713,,,1,219
64,5577,64,524288,2,64,990.5817,990.5328,376.0812,613.5081,0,0.000000,0.619341,,,1,87
64,5577,64,524288,2,65,992.2828,992.2549,376.4631,614.4707,0,0.000000,0.619250,,,1,87
64,5577,64,524288,2,66,1371.0441,1371.0154,388.4355,981.1011,0,0.000000,0.715587,,,1,140
64,5577,64,524288,2,67,1433.8950,1433.8672,372.1926,1060.0562,0,0.000000,0.739284,,,1,145
64,5577,64,524288,2,68,1958.3973,1958.3724,380.3221,1575.9719,0,0.000000,0.804725,,,1,219
64,5577,64,524288,2,69,1976.2874,1976.2566,385.1243,1588.6942,0,0.000000,0.803878,,,1,219
64,5577,64,524288,2,70,1977.1025,1977.0789,382.4356,1592.1121,0,0.000000,0.805275,,,1,219
64,5577,64,524288,2,71,2009.2618,2009.2253,398.6200,1607.7413,0,0.000000,0.800165,,,1,219
64,5577,64,524288,2,72,2055.5276,2055.5056,437.2402,1615.5004,0,0.000000,0.785930,,,1,219
64,5577,64,524288,2,73,2096.9946,2096.9736,446.7355,1647.2729,0,0.000000,0.785540,,,1,219
64,5577,64,524288,2,74,2026.8026,2026.7640,389.9992,1633.1455,0,0.000000,0.805774,,,1,219
64,5577,64,524288,2,75,2052.8868,2052.8657,400.6966,1648.6681,0,0.000000,0.803097,,,1,219
64,5577,64,524288,2,76,2091.4874,2091.4688,420.5344,1667.4100,0,0.000000,0.797236,,,1,219
64,5577,64,524288,2,77,2195.1939,2195.1743,455.8013,1735.7124,0,0.000000,0.790688,,,1,219
64,5577,64,524288,2,78,2140.1295,2140.1064,429.5029,1706.8143,0,0.000000,0.797529,,,1,219
64,5577,64,524288,2,79,2268.1041,2268.0857,489.1543,1774.9803,0,0.000000,0.782583,,,1,219
64,5577,64,524288,2,80,2302.5444,2302.5251,502.8974,1795.5166,0,0.000000,0.779797,,,1,219
64,5577,64,524288,2,81,2315.2113,2315.1934,488.5891,1822.3303,0,0.000000,0.787112,,,1,219
64,5577,64,524288,2,82,2309.4348,2309.4175,501.5482,1803.3950,0,0.000000,0.780882,,,1,219
64,5577,64,524288,2,83,2387.3046,2387.2876,511.7409,1870.8986,0,0.000000,0.783687,,,1,219
64,5577,64,524288,2,84,2430.7471,2430.7288,531.4933,1894.3167,0,0.000000,0.779315,,,1,219
