k_requested,k_actual,xfer_k_bytes,rep,step_idx,wall_ms,gpu_ms,gpu_ratio,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
64,,,0,16,310.3462,310.2838,0.999799,,,0,0
64,,,0,17,325.2469,325.2045,0.999870,,,0,0
64,,,0,18,317.0861,317.0466,0.999875,,,0,0
64,,,0,19,313.2010,313.1615,0.999874,,,0,0
64,,,0,20,326.8027,326.7617,0.999875,,,0,0
64,,,0,21,326.0165,325.9771,0.999879,,,0,0
64,,,0,22,314.4559,314.4178,0.999879,,,0,0
64,,,0,23,326.3747,326.3349,0.999878,,,0,0
64,,,0,24,327.9482,327.9104,0.999885,,,0,0
64,,,0,25,336.5520,336.5129,0.999884,,,0,0
64,,,0,26,322.1519,322.1133,0.999880,,,0,0
64,,,0,27,343.2223,343.1743,0.999860,,,0,0
64,,,0,28,327.7784,327.7347,0.999867,,,0,0
64,,,0,29,332.4138,332.3755,0.999885,,,0,0
64,,,0,30,327.3479,327.3113,0.999888,,,0,0
64,,,0,31,326.6026,326.5641,0.999882,,,0,0
64,,,1,16,319.8469,319.7775,0.999783,,,0,0
64,,,1,17,312.3105,312.2721,0.999877,,,0,0
64,,,1,18,318.0960,318.0525,0.999863,,,0,0
64,,,1,19,324.1040,324.0624,0.999872,,,0,0
64,,,1,20,324.5074,324.4694,0.999883,,,0,0
64,,,1,21,335.7703,335.7314,0.999884,,,0,0
64,,,1,22,329.1976,329.1582,0.999880,,,0,0
64,,,1,23,316.4668,316.4289,0.999880,,,0,0
64,,,1,24,328.2290,328.1915,0.999886,,,0,0
64,,,1,25,330.6366,330.5988,0.999886,,,0,0
64,,,1,26,327.8175,327.7785,0.999881,,,0,0
64,,,1,27,322.3548,322.3173,0.999884,,,0,0
64,,,1,28,330.3177,330.2790,0.999883,,,0,0
64,,,1,29,327.9539,327.9026,0.999844,,,0,0
64,,,1,30,330.8966,330.8583,0.999884,,,0,0
64,,,1,31,324.0069,323.9696,0.999885,,,0,0
64,,,2,16,373.6535,373.6062,0.999873,,,0,0
64,,,2,17,316.0725,316.0321,0.999872,,,0,0
64,,,2,18,320.5688,320.5315,0.999884,,,0,0
64,,,2,19,326.7301,326.6923,0.999884,,,0,0
