K,step,ts0,ts1,gate_ms,gate_pred,xfer_gate_ms,xfer_gate_MB,xfer_k_ms,xfer_k_K,total_call_ms,gpu_util,mem_util,mem_used_MiB,mem_total_MiB,cuda_alloc_GiB,cuda_rsv_GiB
64,0,0.00,0.27,,1,,,,,453.48,0,0,21061,46068,18.20,20.05
64,1,0.27,0.53,,1,,,,,90.43,0,0,21061,46068,18.20,20.05
64,2,0.53,0.80,,1,,,,,86.90,0,0,21061,46068,18.20,20.05
64,3,0.80,1.07,,1,,,,,87.11,0,0,21061,46068,18.20,20.05
64,4,1.07,1.33,,1,,,,,83.42,0,0,21061,46068,18.20,20.05
64,5,1.33,1.60,,1,,,,,84.25,0,0,21061,46068,18.20,20.05
64,6,1.60,1.87,,1,,,,,87.09,0,0,21061,46068,18.20,20.05
64,7,1.87,2.13,,1,,,,,86.86,0,0,21061,46068,18.20,20.05
64,8,2.13,2.40,,1,,,,,90.16,0,0,21061,46068,18.20,20.05
64,9,2.40,2.67,,1,,,,,89.75,0,0,21061,46068,18.20,20.05
64,10,2.67,2.93,,1,,,,,86.84,0,0,21061,46068,18.20,20.05
64,11,2.93,3.20,,1,,,,,90.86,0,0,21061,46068,18.20,20.05
64,12,3.20,3.47,,1,,,,,87.79,0,0,21061,46068,18.20,20.05
64,13,3.47,3.73,,1,,,,,88.67,0,0,21061,46068,18.20,20.05
64,14,3.73,4.00,,1,,,,,86.88,0,0,21061,46068,18.20,20.05
64,15,4.00,4.27,,1,,,,,97.22,0,0,21061,46068,18.20,20.05
64,16,4.27,4.53,,1,,,,,90.64,0,0,21061,46068,18.20,20.05
64,17,4.53,4.80,,1,,,,,89.16,0,0,21061,46068,18.20,20.05
64,18,4.80,5.07,,1,,,,,84.04,0,0,21061,46068,18.20,20.05
64,19,5.07,5.33,,1,,,,,84.37,0,0,21061,46068,18.20,20.05
64,20,5.33,5.60,,1,,,,,86.40,0,0,21061,46068,18.20,20.05
64,21,5.60,5.87,,1,,,,,87.05,0,0,21061,46068,18.20,20.05
64,22,5.87,6.13,,1,,,,,86.79,0,0,21061,46068,18.20,20.05
64,23,6.13,6.40,,1,,,,,87.12,0,0,21061,46068,18.20,20.05
64,24,6.40,6.67,,1,,,,,89.74,0,0,21061,46068,18.20,20.05
64,25,6.67,6.93,,1,,,,,86.54,0,0,21061,46068,18.20,20.05
64,26,6.93,7.20,,1,,,,,87.18,0,0,21061,46068,18.20,20.05
64,27,7.20,7.47,,1,,,,,88.94,0,0,21061,46068,18.20,20.05
64,28,7.47,7.73,,1,,,,,87.80,0,0,21061,46068,18.20,20.05
64,29,7.73,8.00,,1,,,,,87.82,0,0,21061,46068,18.20,20.05
64,30,8.00,8.27,,1,,,,,87.10,0,0,21061,46068,18.20,20.05
64,31,8.27,8.53,,1,,,,,86.31,0,0,21061,46068,18.20,20.05
64,32,8.53,8.80,,1,,,,,86.75,0,0,21061,46068,18.20,20.05
64,33,8.80,9.07,,1,,,,,86.59,0,0,21061,46068,18.20,20.05
64,34,9.07,9.33,,1,,,,,87.43,0,0,21061,46068,18.20,20.05
64,35,9.33,9.60,,1,,,,,97.60,0,0,21061,46068,18.20,20.05
64,36,9.60,9.87,,1,,,,,84.58,0,0,21061,46068,18.20,20.05
64,37,9.87,10.13,,1,,,,,86.74,0,0,21061,46068,18.20,20.05
64,38,10.13,10.40,,1,,,,,86.81,0,0,21061,46068,18.20,20.05
64,39,10.40,10.67,,1,,,,,89.56,0,0,21061,46068,18.20,20.05
64,40,10.67,10.93,,1,,,,,86.39,0,0,21061,46068,18.20,20.05
64,41,10.93,11.20,,1,,,,,90.43,0,0,21061,46068,18.20,20.05
64,42,11.20,11.47,,1,,,,,86.21,0,0,21061,46068,18.20,20.05
64,43,11.47,11.73,,1,,,,,86.33,0,0,21061,46068,18.20,20.05
64,44,11.73,12.00,,1,,,,,86.51,0,0,21061,46068,18.20,20.05
64,45,12.00,12.27,,1,,,,,86.17,0,0,21061,46068,18.20,20.05
64,46,12.27,12.53,,1,,,,,87.09,0,0,21061,46068,18.20,20.05
64,47,12.53,12.80,,1,,,,,88.00,0,0,21061,46068,18.20,20.05
64,48,12.80,13.07,,1,,,,,90.31,0,0,21061,46068,18.20,20.05
64,49,13.07,13.33,,1,,,,,88.45,0,0,21061,46068,18.20,20.05
64,50,13.33,13.60,,1,,,,,83.60,0,0,21061,46068,18.20,20.05
64,51,13.60,13.87,,1,,,,,84.12,0,0,21061,46068,18.20,20.05
64,52,13.87,14.13,,1,,,,,83.89,0,0,21061,46068,18.20,20.05
64,53,14.13,14.40,,1,,,,,87.35,0,0,21061,46068,18.20,20.05
64,54,14.40,14.67,,1,,,,,86.21,0,0,21061,46068,18.20,20.05
64,55,14.67,14.93,,1,,,,,86.39,0,0,21061,46068,18.20,20.05
64,56,14.93,15.20,,1,,,,,86.57,0,0,21061,46068,18.20,20.05
64,57,15.20,15.47,,1,,,,,86.44,0,0,21061,46068,18.20,20.05
64,58,15.47,15.73,,1,,,,,89.05,0,0,21061,46068,18.20,20.05
64,59,15.73,16.00,,1,,,,,90.47,0,0,21061,46068,18.20,20.05
64,60,16.00,16.27,,1,,,,,88.28,0,0,21061,46068,18.20,20.05
64,61,16.27,16.53,,1,,,,,85.79,0,0,21061,46068,18.20,20.05
64,62,16.53,16.80,,1,,,,,87.12,0,0,21061,46068,18.20,20.05
64,63,16.80,17.07,,1,,,,,86.86,0,0,21061,46068,18.20,20.05
64,64,17.07,17.33,,1,,,,,90.23,0,0,21061,46068,18.20,20.05
64,65,17.33,17.60,,1,,,,,86.61,0,0,21061,46068,18.20,20.05
64,66,17.60,17.87,,1,,,,,86.88,0,0,21061,46068,18.20,20.05
64,67,17.87,18.13,,1,,,,,84.14,0,0,21061,46068,18.20,20.05
64,68,18.13,18.40,,1,,,,,86.89,0,0,21061,46068,18.20,20.05
64,69,18.40,18.67,,1,,,,,83.65,0,0,21061,46068,18.20,20.05
64,70,18.67,18.93,,1,,,,,84.46,0,0,21061,46068,18.20,20.05
64,71,18.93,19.20,,1,,,,,87.34,0,0,21061,46068,18.20,20.05
64,72,19.20,19.47,,1,,,,,87.50,0,0,21061,46068,18.20,20.05
64,73,19.47,19.73,,1,,,,,87.36,0,0,21061,46068,18.20,20.05
64,74,19.73,20.00,,1,,,,,86.44,0,0,21061,46068,18.20,20.05
64,75,20.00,20.27,,1,,,,,86.29,0,0,21061,46068,18.20,20.05
64,76,20.27,20.53,,1,,,,,86.94,0,0,21061,46068,18.20,20.05
64,77,20.53,20.80,,1,,,,,86.87,0,0,21061,46068,18.20,20.05
64,78,20.80,21.07,,1,,,,,83.88,0,0,21061,46068,18.20,20.05
64,79,21.07,21.33,,1,,,,,87.10,0,0,21061,46068,18.20,20.05
64,80,21.33,21.60,,1,,,,,87.05,0,0,21061,46068,18.20,20.05
64,81,21.60,21.87,,1,,,,,87.01,0,0,21061,46068,18.20,20.05
64,82,21.87,22.13,,1,,,,,83.86,0,0,21061,46068,18.20,20.05
64,83,22.13,22.40,,1,,,,,84.90,0,0,21061,46068,18.20,20.05
64,84,22.40,22.67,,1,,,,,87.84,0,0,21061,46068,18.20,20.05
64,85,22.67,22.93,,1,,,,,86.94,0,0,21061,46068,18.20,20.05
64,86,22.93,23.20,,1,,,,,86.72,0,0,21061,46068,18.20,20.05
64,87,23.20,23.47,,1,,,,,84.46,0,0,21061,46068,18.20,20.05
64,88,23.47,23.73,,1,,,,,83.97,0,0,21061,46068,18.20,20.05
64,89,23.73,24.00,,1,,,,,83.76,0,0,21061,46068,18.20,20.05
64,90,24.00,24.27,,1,,,,,90.05,0,0,21061,46068,18.20,20.05
64,91,24.27,24.53,,1,,,,,83.57,0,0,21061,46068,18.20,20.05
64,92,24.53,24.80,,1,,,,,88.05,0,0,21061,46068,18.20,20.05
64,93,24.80,25.07,,1,,,,,86.93,0,0,21061,46068,18.20,20.05
64,94,25.07,25.33,,1,,,,,88.18,0,0,21061,46068,18.20,20.05
64,95,25.33,25.60,,1,,,,,86.56,0,0,21061,46068,18.20,20.05
64,96,25.60,25.87,,1,,,,,84.52,0,0,21061,46068,18.20,20.05
64,97,25.87,26.13,,1,,,,,89.88,0,0,21061,46068,18.20,20.05
64,98,26.13,26.40,,1,,,,,87.42,0,0,21061,46068,18.20,20.05
64,99,26.40,26.67,,1,,,,,86.62,0,0,21061,46068,18.20,20.05
64,100,26.67,26.93,,1,,,,,84.53,0,0,21061,46068,18.20,20.05
64,101,26.93,27.20,,1,,,,,83.41,0,0,21061,46068,18.20,20.05
64,102,27.20,27.47,,1,,,,,86.61,0,0,21061,46068,18.20,20.05
64,103,27.47,27.73,,1,,,,,89.73,0,0,21061,46068,18.20,20.05
64,104,27.73,28.00,,1,,,,,88.09,0,0,21061,46068,18.20,20.05
64,105,28.00,28.27,,1,,,,,86.49,0,0,21061,46068,18.20,20.05
